dealer_id,dealer_name,city,state,address,phone,email,dealer_type,opening_date,created_at
30,United Motors 30,Surat,Gujarat,"H.No. 54
Kannan Ganj",05210051518,dealer30@vehiclecompany.com,Premium,2017-11-30,2026-08-14 11:46:14
31,Elite Automobiles 31,Bengaluru,Karnataka,"187
Keer Zila",3708197545,dealer31@vehiclecompany.com,Authorized,2022-11-09,2026-08-14 11:46:14
32,City Auto 32,Chennai,Tamil Nadu,"545
Gade Street",07218246547,dealer32@vehiclecompany.com,Authorized,2004-12-01,2026-08-14 11:46:14
33,Metro Motors 33,Nagpur,Maharashtra,"78, Mistry Nagar",+915071465554,dealer33@vehiclecompany.com,Standard,2018-12-08,2026-08-14 11:46:14
34,City Auto 34,Kolkata,West Bengal,"44
Mishra",09559568777,dealer34@vehiclecompany.com,Premium,2017-02-12,2026-08-14 11:46:14
35,Royal Motors 35,Kolkata,West Bengal,"342, Devi Chowk",09058457718,dealer35@vehiclecompany.com,Standard,2011-04-12,2026-08-14 11:46:14
36,Prime Motors 36,Ahmedabad,Gujarat,"820, Gour",3152866623,dealer36@vehiclecompany.com,Standard,2005-02-19,2026-08-14 11:46:14
37,Star Automobiles 37,Jaipur,Rajasthan,"28/742
Bobal",+913865717171,dealer37@vehiclecompany.com,Premium,2015-04-05,2026-08-14 11:46:14
38,Highway Motors 38,Mumbai,Maharashtra,"80/56
Behl Chowk",06313756597,dealer38@vehiclecompany.com,Premium,2007-02-04,2026-08-14 11:46:14
39,Prime Motors 39,Chennai,Tamil Nadu,"H.No. 120, Ram Marg",02168847338,dealer39@vehiclecompany.com,Standard,2011-10-25,2026-08-14 11:46:14
40,Metro Motors 40,Ahmedabad,Gujarat,"H.No. 385, Pillai Chowk",0962624214,dealer40@vehiclecompany.com,Standard,2004-10-09,2026-08-14 11:46:14
41,Highway Motors 41,Bhopal,Madhya Pradesh,"H.No. 531
Sinha Marg",2604544484,dealer41@vehiclecompany.com,Standard,2022-10-09,2026-08-14 11:46:14
42,Elite Automobiles 42,Kolkata,West Bengal,"41/087, Patel Path",0231924466,dealer42@vehiclecompany.com,Authorized,2016-10-09,2026-08-14 11:46:14
43,Metro Motors 43,Indore,Madhya Pradesh,"31/35, Gala Zila",+917901021353,dealer43@vehiclecompany.com,Standard,2023-10-16,2026-08-14 11:46:14
44,Prime Motors 44,Lucknow,Uttar Pradesh,"18/697, Nagar Nagar",+914053582188,dealer44@vehiclecompany.com,Standard,2014-07-16,2026-08-14 11:46:14
45,Prime Motors 45,Chennai,Tamil Nadu,"23
Pai Zila",01971394367,dealer45@vehiclecompany.com,Authorized,2016-04-13,2026-08-14 11:46:14
46,Highway Motors 46,Lucknow,Uttar Pradesh,"48, Dara Road",3036342014,dealer46@vehiclecompany.com,Authorized,2002-08-07,2026-08-14 11:46:14
47,United Motors 47,Nashik,Maharashtra,"54/89
Modi",+918777451016,dealer47@vehiclecompany.com,Authorized,2003-11-04,2026-08-14 11:46:14
48,Royal Motors 48,Surat,Gujarat,"98/87, Sarna Road",7745924262,dealer48@vehiclecompany.com,Authorized,2023-11-23,2026-08-14 11:46:14
49,Metro Motors 49,Indore,Madhya Pradesh,"03
Mitter Circle",+916102008011,dealer49@vehiclecompany.com,Authorized,2021-04-27,2026-08-14 11:46:14
50,Metro Motors 50,Ahmedabad,Gujarat,"H.No. 472, Baria Marg",05131469325,dealer50@vehiclecompany.com,Premium,2023-09-02,2026-08-14 11:46:14
