payment_id,vehicle_id,customer_id,payment_date,payment_method,amount,payment_status,transaction_reference,created_at
130,9444,8005,2022-12-19,Loan,709651.27,FAILED,TXN-816093565,2026-08-14 11:46:23
131,3251,3155,2021-08-18,Loan,836530.17,COMPLETED,TXN-960701449,2026-08-14 11:46:23
132,15567,6226,2021-09-10,UPI,1536545.79,COMPLETED,TXN-715150444,2026-08-14 11:46:23
133,5993,5129,2020-03-08,Loan,1159981.11,COMPLETED,TXN-533883470,2026-08-14 11:46:23
134,16916,3582,2025-06-18,Credit Card,636677.5,COMPLETED,TXN-125096334,2026-08-14 11:46:23
135,1632,9169,2026-05-23,Bank Transfer,447330.56,COMPLETED,TXN-337133581,2026-08-14 11:46:23
136,3489,3447,2023-10-30,Bank Transfer,344750.63,FAILED,TXN-666171122,2026-08-14 11:46:23
137,13958,4465,2022-08-20,UPI,398296.05,FAILED,TXN-379633832,2026-08-14 11:46:23
138,17646,6301,2024-04-28,Bank Transfer,1261302.6,FAILED,TXN-558483994,2026-08-14 11:46:23
139,8861,8878,2023-08-07,Bank Transfer,422362.48,FAILED,TXN-358709145,2026-08-14 11:46:23
140,5942,5436,2026-06-21,UPI,93554.35,PENDING,TXN-622846334,2026-08-14 11:46:23
141,4963,574,2023-12-20,Debit Card,1569027.94,COMPLETED,TXN-472876899,2026-08-14 11:46:23
142,11134,986,2025-12-06,UPI,221942.36,COMPLETED,TXN-744531942,2026-08-14 11:46:23
143,5510,5027,2023-02-17,UPI,399353.82,COMPLETED,TXN-733842898,2026-08-14 11:46:23
144,8681,5973,2021-10-07,Credit Card,158783.11,COMPLETED,TXN-481665217,2026-08-14 11:46:23
145,9587,1405,2022-02-02,Loan,1115780.3,COMPLETED,TXN-172341856,2026-08-14 11:46:23
146,14953,9510,2025-03-14,Bank Transfer,2203383.09,FAILED,TXN-293474748,2026-08-14 11:46:23
147,5420,425,2022-02-13,UPI,1395802.48,PENDING,TXN-726016212,2026-08-14 11:46:23
148,13871,5976,2022-03-29,UPI,798513.21,FAILED,TXN-497933469,2026-08-14 11:46:23
149,19472,7627,2022-12-03,Debit Card,312969.68,PENDING,TXN-585241749,2026-08-14 11:46:23
150,3109,3011,2021-09-05,Bank Transfer,222328.22,COMPLETED,TXN-398369964,2026-08-14 11:46:23
151,7307,9421,2020-06-12,Loan,1339682.19,FAILED,TXN-407168315,2026-08-14 11:46:23
152,4615,53,2023-09-29,Debit Card,200516.24,COMPLETED,TXN-957226933,2026-08-14 11:46:23
153,12571,220,2023-12-07,Credit Card,1299053.9,FAILED,TXN-317812973,2026-08-14 11:46:23
154,12332,2984,2022-05-24,Loan,1303351.07,FAILED,TXN-520635794,2026-08-14 11:46:23
155,4475,2853,2021-09-17,Bank Transfer,416295.17,COMPLETED,TXN-700308916,2026-08-14 11:46:23
156,1935,6281,2020-07-23,Debit Card,822418.49,COMPLETED,TXN-644430646,2026-08-14 11:46:23
157,10583,9340,2024-11-27,Credit Card,1569475.48,COMPLETED,TXN-315296629,2026-08-14 11:46:23
158,10497,4261,2023-02-19,Bank Transfer,464463.85,COMPLETED,TXN-799335653,2026-08-14 11:46:23
159,654,1291,2023-10-15,Debit Card,809169.39,PENDING,TXN-417915247,2026-08-14 11:46:23
160,1115,6365,2022-02-27,Loan,2225547.66,COMPLETED,TXN-666148148,2026-08-14 11:46:23
161,1134,7882,2022-03-03,Debit Card,840016.42,COMPLETED,TXN-182010748,2026-08-14 11:46:23
162,2503,12,2025-03-14,UPI,1374857.48,COMPLETED,TXN-889284943,2026-08-14 11:46:23
163,8052,8472,2020-02-12,UPI,178646.76,COMPLETED,TXN-825408617,2026-08-14 11:46:23
164,9622,4550,2025-11-22,Credit Card,1772842.69,COMPLETED,TXN-862880514,2026-08-14 11:46:23
165,18984,3958,2025-04-25,UPI,565765.12,COMPLETED,TXN-641217175,2026-08-14 11:46:23
166,17300,5477,2025-01-16,Credit Card,1449800.94,PENDING,TXN-580902274,2026-08-14 11:46:23
167,8467,1506,2026-03-24,Bank Transfer,98297.54,PENDING,TXN-538777097,2026-08-14 11:46:23
168,15409,1265,2020-02-28,Credit Card,1306311.0,COMPLETED,TXN-332599283,2026-08-14 11:46:23
169,747,7709,2020-05-20,Credit Card,513183.74,COMPLETED,TXN-869708271,2026-08-14 11:46:23
170,9642,2855,2024-04-26,Loan,1734429.36,FAILED,TXN-975932794,2026-08-14 11:46:23
171,7027,5986,2025-01-08,Credit Card,1449069.31,FAILED,TXN-904638459,2026-08-14 11:46:23
172,7515,3144,2023-08-08,UPI,1010184.76,PENDING,TXN-646287364,2026-08-14 11:46:23
173,2797,3687,2023-07-08,Bank Transfer,1574016.14,FAILED,TXN-848143822,2026-08-14 11:46:23
174,13847,5272,2020-09-28,Credit Card,680339.23,COMPLETED,TXN-156025267,2026-08-14 11:46:23
175,248,9890,2022-10-10,Credit Card,243347.94,FAILED,TXN-836894851,2026-08-14 11:46:23
176,6666,7663,2024-04-04,Credit Card,681043.82,FAILED,TXN-799890323,2026-08-14 11:46:23
177,9974,9663,2020-12-18,Bank Transfer,985056.64,PENDING,TXN-943377498,2026-08-14 11:46:23
178,5393,6990,2021-06-01,Loan,784958.78,COMPLETED,TXN-923095523,2026-08-14 11:46:23
179,9190,265,2022-07-05,UPI,925638.63,PENDING,TXN-840009763,2026-08-14 11:46:23
180,2311,6855,2022-03-15,UPI,1081273.64,COMPLETED,TXN-939434862,2026-08-14 11:46:23
181,15488,6540,2024-03-13,Loan,778655.74,COMPLETED,TXN-907893970,2026-08-14 11:46:23
182,4843,7214,2020-09-22,UPI,658425.82,FAILED,TXN-496683938,2026-08-14 11:46:23
183,15128,4661,2020-11-08,Debit Card,359388.8,COMPLETED,TXN-802414893,2026-08-14 11:46:23
184,17250,92,2023-07-19,Loan,291366.79,FAILED,TXN-105233951,2026-08-14 11:46:23
185,737,3370,2024-04-07,Debit Card,722651.39,COMPLETED,TXN-667575506,2026-08-14 11:46:23
186,11814,3420,2022-07-20,UPI,1011871.37,PENDING,TXN-978240041,2026-08-14 11:46:23
187,10871,7410,2025-10-06,UPI,1229732.52,COMPLETED,TXN-491514195,2026-08-14 11:46:23
188,18880,2733,2026-03-06,UPI,1092336.67,PENDING,TXN-747429430,2026-08-14 11:46:23
189,546,5151,2021-02-11,Bank Transfer,1454376.25,COMPLETED,TXN-106332234,2026-08-14 11:46:23
190,12784,9751,2022-05-19,Credit Card,1601237.81,FAILED,TXN-778470976,2026-08-14 11:46:23
191,3996,5800,2026-06-28,Loan,1257380.92,COMPLETED,TXN-139512487,2026-08-14 11:46:23
192,5514,4848,2024-12-29,Credit Card,886183.87,COMPLETED,TXN-317580283,2026-08-14 11:46:23
193,19480,9221,2024-05-10,Credit Card,1985969.52,FAILED,TXN-801542384,2026-08-14 11:46:23
194,8569,904,2024-08-06,Loan,215349.9,COMPLETED,TXN-479572862,2026-08-14 11:46:23
195,8847,9404,2025-09-26,Debit Card,1186030.68,COMPLETED,TXN-800764118,2026-08-14 11:46:23
196,11473,4276,2022-01-10,UPI,598691.87,COMPLETED,TXN-833439940,2026-08-14 11:46:23
197,12378,4872,2023-02-27,Debit Card,143854.78,COMPLETED,TXN-721305480,2026-08-14 11:46:23
198,10736,8668,2021-05-15,UPI,1107873.84,COMPLETED,TXN-902205644,2026-08-14 11:46:23
199,17529,573,2022-09-12,Bank Transfer,1027248.76,COMPLETED,TXN-157558824,2026-08-14 11:46:23
200,4478,5101,2024-01-18,Loan,472845.85,COMPLETED,TXN-606689724,2026-08-14 11:46:23
201,9537,7899,2023-09-11,Debit Card,1426862.91,COMPLETED,TXN-535855910,2026-08-14 11:46:23
202,7246,1979,2025-08-18,Debit Card,2327874.1,COMPLETED,TXN-841384721,2026-08-14 11:46:23
203,12054,8291,2022-12-03,Debit Card,718580.07,COMPLETED,TXN-994462059,2026-08-14 11:46:23
204,15557,8656,2025-06-01,Loan,1014408.03,COMPLETED,TXN-790569036,2026-08-14 11:46:23
205,19754,2079,2024-07-04,Credit Card,258439.9,COMPLETED,TXN-704455505,2026-08-14 11:46:23
206,18466,1662,2021-09-14,UPI,1350781.4,COMPLETED,TXN-422632304,2026-08-14 11:46:23
207,11902,5052,2022-01-11,Debit Card,1342869.37,COMPLETED,TXN-891074385,2026-08-14 11:46:23
208,18566,9368,2023-02-25,Bank Transfer,379321.66,FAILED,TXN-511853828,2026-08-14 11:46:23
209,6494,48,2023-10-11,UPI,145136.18,COMPLETED,TXN-915112682,2026-08-14 11:46:23
210,6694,3146,2023-07-22,Credit Card,1375118.94,FAILED,TXN-996696478,2026-08-14 11:46:23
211,5744,2957,2022-07-29,Loan,1271859.76,PENDING,TXN-770036089,2026-08-14 11:46:23
212,9117,71,2022-07-06,Bank Transfer,497745.41,COMPLETED,TXN-312805287,2026-08-14 11:46:23
213,4595,4793,2023-02-12,Debit Card,940422.16,PENDING,TXN-744990419,2026-08-14 11:46:23
214,10477,4353,2021-04-23,UPI,765018.92,COMPLETED,TXN-793303984,2026-08-14 11:46:23
215,1600,3551,2021-09-17,Credit Card,811717.99,COMPLETED,TXN-372665110,2026-08-14 11:46:23
216,19112,6820,2024-06-23,Debit Card,637084.25,COMPLETED,TXN-108972759,2026-08-14 11:46:23
217,19576,3566,2026-06-10,Debit Card,861586.16,PENDING,TXN-135427603,2026-08-14 11:46:23
218,11820,3363,2024-07-11,UPI,1792022.78,COMPLETED,TXN-593909718,2026-08-14 11:46:23
219,9340,3,2023-11-10,UPI,339856.25,COMPLETED,TXN-832450421,2026-08-14 11:46:23
220,19726,8410,2021-08-01,Loan,673227.61,COMPLETED,TXN-977703351,2026-08-14 11:46:23
221,17014,8940,2023-02-02,UPI,977740.52,COMPLETED,TXN-547868832,2026-08-14 11:46:23
222,4926,718,2021-01-13,UPI,1426421.0,PENDING,TXN-872975911,2026-08-14 11:46:23
223,16573,5516,2024-05-07,Debit Card,1338118.79,COMPLETED,TXN-233591689,2026-08-14 11:46:23
224,14100,2964,2026-02-27,Bank Transfer,134210.92,COMPLETED,TXN-177263741,2026-08-14 11:46:23
225,273,4355,2021-05-01,UPI,501709.17,COMPLETED,TXN-272700883,2026-08-14 11:46:23
226,19862,3280,2022-06-04,Loan,1962862.95,PENDING,TXN-757516629,2026-08-14 11:46:23
227,4654,6779,2021-10-02,Credit Card,507885.84,COMPLETED,TXN-378716610,2026-08-14 11:46:23
228,1959,9222,2020-05-13,Loan,1664645.0,FAILED,TXN-549134367,2026-08-14 11:46:23
229,14539,5327,2025-08-10,Debit Card,1071932.59,COMPLETED,TXN-596207312,2026-08-14 11:46:23
230,4713,2383,2024-04-16,Loan,1086511.09,COMPLETED,TXN-223918853,2026-08-14 11:46:23
231,8589,5777,2021-12-23,UPI,72890.61,COMPLETED,TXN-871512154,2026-08-14 11:46:23
232,18906,6374,2024-02-05,Credit Card,1748369.64,COMPLETED,TXN-705836744,2026-08-14 11:46:23
233,16831,3884,2020-08-20,Loan,109607.35,FAILED,TXN-158311435,2026-08-14 11:46:23
234,10272,1554,2021-07-17,Bank Transfer,1227626.05,COMPLETED,TXN-745065497,2026-08-14 11:46:23
235,4456,1571,2025-09-28,Bank Transfer,184463.32,COMPLETED,TXN-104150401,2026-08-14 11:46:23
236,1155,1492,2026-07-09,Bank Transfer,374069.2,PENDING,TXN-601080179,2026-08-14 11:46:23
237,15720,9333,2022-01-06,Debit Card,654152.47,COMPLETED,TXN-279642554,2026-08-14 11:46:23
238,14206,1395,2024-07-30,Bank Transfer,1776800.61,COMPLETED,TXN-306822427,2026-08-14 11:46:23
239,19197,7355,2020-02-10,Bank Transfer,389121.5,COMPLETED,TXN-797852688,2026-08-14 11:46:23
240,4855,6979,2020-07-23,Credit Card,828841.64,COMPLETED,TXN-551963510,2026-08-14 11:46:23
241,4010,5778,2021-09-25,Debit Card,1367784.34,FAILED,TXN-218034563,2026-08-14 11:46:23
242,7691,2130,2021-11-10,UPI,874183.69,FAILED,TXN-280532392,2026-08-14 11:46:23
243,16402,7737,2024-09-21,UPI,415955.6,FAILED,TXN-208820004,2026-08-14 11:46:23
244,3130,174,2022-04-04,Loan,177770.4,FAILED,TXN-330534121,2026-08-14 11:46:23
245,9383,6046,2024-01-09,UPI,687557.1,COMPLETED,TXN-204059795,2026-08-14 11:46:23
246,9454,2016,2025-05-20,Credit Card,1273325.46,COMPLETED,TXN-865018432,2026-08-14 11:46:23
247,7067,5489,2021-05-20,Bank Transfer,736588.32,FAILED,TXN-944951610,2026-08-14 11:46:23
248,13563,7094,2023-11-19,Debit Card,1646511.79,COMPLETED,TXN-405813722,2026-08-14 11:46:23
249,13393,4631,2025-02-01,Credit Card,299988.49,COMPLETED,TXN-879772946,2026-08-14 11:46:23
250,4259,8070,2024-09-29,Credit Card,386665.32,COMPLETED,TXN-338976588,2026-08-14 11:46:23
251,8379,3813,2021-03-13,Loan,1615260.99,COMPLETED,TXN-840846841,2026-08-14 11:46:23
252,7573,3926,2020-02-01,UPI,806674.53,COMPLETED,TXN-799964204,2026-08-14 11:46:23
253,16626,6803,2020-10-05,UPI,238863.23,PENDING,TXN-330278787,2026-08-14 11:46:23
254,11847,33,2025-10-03,Credit Card,923565.32,COMPLETED,TXN-781609917,2026-08-14 11:46:23
255,2858,1481,2021-07-13,Bank Transfer,994766.3,COMPLETED,TXN-511423492,2026-08-14 11:46:23
256,13318,3829,2021-09-15,UPI,1231489.72,COMPLETED,TXN-171706247,2026-08-14 11:46:23
257,14211,8525,2023-02-24,Loan,471358.42,PENDING,TXN-229234625,2026-08-14 11:46:23
258,17795,6649,2020-10-13,Debit Card,1185242.29,COMPLETED,TXN-250021062,2026-08-14 11:46:23
259,6736,4548,2024-08-02,Debit Card,157742.92,COMPLETED,TXN-802363917,2026-08-14 11:46:23
260,616,3564,2024-03-14,UPI,571588.96,COMPLETED,TXN-322780278,2026-08-14 11:46:23
261,2790,8010,2026-02-02,Bank Transfer,2035428.94,COMPLETED,TXN-620345408,2026-08-14 11:46:23
262,3790,8456,2025-03-17,UPI,615291.78,COMPLETED,TXN-891677934,2026-08-14 11:46:23
