vehicle_id,manufacturer_id,dealer_id,customer_id,vin,model_name,vehicle_type,fuel_type,transmission,manufacturing_year,color,price,sale_date,vehicle_status,created_at
57,4,39,,NWBSPJTQNRCLTYWAK,Camry,Sedan,Hybrid,Automatic,2022,White,3600311.0,,AVAILABLE,2026-08-14 11:46:17
58,17,10,6136.0,DECVRTYLLSWZZVXVJ,Harrier,SUV,Diesel,Automatic,2025,White,2966093.0,2023-05-27,SOLD,2026-08-14 11:46:17
59,5,10,5000.0,BBISLSODWAJQRVNVA,Virtus,Sedan,Petrol,Automatic,2020,Grey,2308428.0,2023-03-07,SOLD,2026-08-14 11:46:17
60,16,1,1107.0,TOFLDRECDCBIGHAHN,Harrier,SUV,Diesel,Automatic,2025,Blue,4002874.0,2020-07-02,SOLD,2026-08-14 11:46:17
61,10,37,6182.0,PLMOJVKSZMWKSVJDE,City,Sedan,Petrol,Automatic,2020,Blue,1614087.0,2025-04-30,SOLD,2026-08-14 11:46:17
62,15,49,2441.0,MWOETWQAJGEMPTYCQ,City,Sedan,Petrol,Automatic,2024,Red,1249228.0,2023-08-25,SOLD,2026-08-14 11:46:17
63,8,26,7260.0,LPMRONHWMWJAQWXWG,Swift,Hatchback,Petrol,Manual,2020,Grey,1242642.0,2023-02-10,SOLD,2026-08-14 11:46:17
64,1,37,2029.0,DCHMHTIVJGURRXUWK,Verna,Sedan,Petrol,Automatic,2021,Blue,1214307.0,2026-04-10,SOLD,2026-08-14 11:46:17
65,18,37,8549.0,WNCXDHKXIXOXXOYIN,Nexon EV,SUV,Electric,Automatic,2026,White,4491599.0,2022-02-14,SOLD,2026-08-14 11:46:17
66,4,43,,OVCAGFELXCCJLVCIC,Sonet,SUV,Diesel,Manual,2022,Black,659161.0,,AVAILABLE,2026-08-14 11:46:17
67,8,46,8742.0,ZNTKHBVCRWAZYOCNQ,Virtus,Sedan,Petrol,Automatic,2018,Red,3870524.0,2023-08-05,SOLD,2026-08-14 11:46:17
68,1,22,,VMNPYJLSYJOZSIUOW,Camry,Sedan,Hybrid,Automatic,2026,Silver,701804.0,,AVAILABLE,2026-08-14 11:46:17
69,13,17,,XDCROVSWILHFQEXEA,Punch,SUV,Petrol,Manual,2026,Black,1333270.0,,AVAILABLE,2026-08-14 11:46:17
70,10,10,,XPOGNOQMXPGZPHHWG,Scorpio,SUV,Diesel,Manual,2020,Silver,1251858.0,,AVAILABLE,2026-08-14 11:46:17
71,14,44,,RNHGZIODTUCAPKNZE,Scorpio,SUV,Diesel,Manual,2020,White,3228736.0,,AVAILABLE,2026-08-14 11:46:17
72,2,20,,QFKQJTZZUTWXKCPGA,Fortuner,SUV,Diesel,Automatic,2024,Silver,1695045.0,,AVAILABLE,2026-08-14 11:46:17
73,9,25,,YQGETEFFAMFUQKJSZ,Harrier,SUV,Diesel,Automatic,2021,Red,2510103.0,,AVAILABLE,2026-08-14 11:46:17
74,17,49,1886.0,JPUVOJTWVLYBARJOS,Seltos,SUV,Petrol,Automatic,2023,Red,1008617.0,2023-01-08,SOLD,2026-08-14 11:46:17
75,18,27,6677.0,ACGZMICUFGWJQGBHC,Punch,SUV,Petrol,Manual,2022,Blue,656219.0,2022-08-15,SOLD,2026-08-14 11:46:17
76,19,44,,NVHHQKGKCPYAIKCLB,Harrier,SUV,Diesel,Automatic,2022,Blue,1553368.0,,AVAILABLE,2026-08-14 11:46:17
77,14,29,8200.0,AVWOMBPDNYEAPDURB,Punch,SUV,Petrol,Manual,2023,Blue,1694261.0,2022-04-13,SOLD,2026-08-14 11:46:17
78,6,16,9096.0,PDYEUOGXDLZYCXYYB,Sonet,SUV,Diesel,Manual,2018,Red,850577.0,2025-01-24,SOLD,2026-08-14 11:46:17
79,20,19,,ITPPPBFWKMUMCSKRB,Scorpio,SUV,Diesel,Manual,2022,Blue,4544871.0,,AVAILABLE,2026-08-14 11:46:17
80,9,44,3486.0,SQWQZSYFJBZRUZISG,Fortuner,SUV,Diesel,Automatic,2022,White,4780945.0,2026-07-24,SOLD,2026-08-14 11:46:17
81,6,48,4926.0,EZLDCHKIQRDKNMCSF,Sonet,SUV,Diesel,Manual,2019,Black,3816057.0,2021-01-02,SOLD,2026-08-14 11:46:17
82,18,18,,UIIDZWVKGXRKJMOJV,Camry,Sedan,Hybrid,Automatic,2023,Grey,4734739.0,,AVAILABLE,2026-08-14 11:46:17
83,11,41,7418.0,LJTUHPQRKHSZJFQHH,Venue,SUV,Petrol,Manual,2023,Silver,2562995.0,2023-01-23,SOLD,2026-08-14 11:46:17
84,7,30,2191.0,ZHIMGWIETBIEHWUAS,Model 3,Sedan,Electric,Automatic,2018,White,4497414.0,2020-01-09,SOLD,2026-08-14 11:46:17
85,6,27,8012.0,RSOBOOZMPUINSGWWU,Sonet,SUV,Diesel,Manual,2019,Blue,1180725.0,2024-05-27,SOLD,2026-08-14 11:46:17
86,1,43,5784.0,VMCMMFHGKVRGLEGUK,City,Sedan,Petrol,Automatic,2024,Black,3502834.0,2024-03-21,SOLD,2026-08-14 11:46:17
87,1,8,3162.0,YZSWRJBTZOJGOHSMS,City,Sedan,Petrol,Automatic,2021,Grey,578545.0,2024-12-25,SOLD,2026-08-14 11:46:17
88,1,49,5863.0,ZAJVLVRSXODYKYERS,Venue,SUV,Petrol,Manual,2022,Grey,1254693.0,2022-02-23,SOLD,2026-08-14 11:46:17
89,8,15,603.0,DDZEKCOYERQAPWGVG,Civic,Sedan,Petrol,Automatic,2021,White,4634223.0,2023-02-23,SOLD,2026-08-14 11:46:17
90,7,41,,ZWXYIVPUNEDSTNPOK,Fortuner,SUV,Diesel,Automatic,2026,Red,2826559.0,,AVAILABLE,2026-08-14 11:46:17
91,6,36,9269.0,HHSXDLFMANKUGEWXZ,Thar,SUV,Diesel,Manual,2019,Blue,1972442.0,2026-05-03,SOLD,2026-08-14 11:46:17
92,5,48,,RPFZGILKLNMFYYDLS,Punch,SUV,Petrol,Manual,2026,Grey,2412310.0,,AVAILABLE,2026-08-14 11:46:17
93,9,13,8732.0,CCNORKAJAIZMMEUNL,Nexon,SUV,Petrol,Manual,2018,Red,4307808.0,2022-11-01,SOLD,2026-08-14 11:46:17
94,2,21,6667.0,FQPEWYGUVSTXVGDNW,Camry,Sedan,Hybrid,Automatic,2026,Red,1521042.0,2023-01-27,SOLD,2026-08-14 11:46:17
95,16,24,3679.0,CLLNKXXAKVZJMQAPX,Seltos,SUV,Petrol,Automatic,2024,Blue,2831471.0,2020-07-11,SOLD,2026-08-14 11:46:17
96,15,21,5484.0,IOEVJIEROLWOKKJLZ,Nexon,SUV,Petrol,Manual,2021,Grey,712835.0,2020-12-01,SOLD,2026-08-14 11:46:17
97,14,5,,WCXQEQVZKWPSAQCME,Creta,SUV,Petrol,Automatic,2022,White,3261736.0,,AVAILABLE,2026-08-14 11:46:17
98,4,2,394.0,XEAGQEIYWIQMUACHT,Civic,Sedan,Petrol,Automatic,2021,White,2600586.0,2023-10-01,SOLD,2026-08-14 11:46:17
99,16,16,5466.0,EFBAVFJPTTKVSJFJR,Swift,Hatchback,Petrol,Manual,2019,Blue,2485949.0,2025-10-29,SOLD,2026-08-14 11:46:17
100,20,29,9486.0,OOALWPTWUCXNEVASP,Harrier,SUV,Diesel,Automatic,2018,White,1217517.0,2021-05-26,SOLD,2026-08-14 11:46:17
101,13,21,1016.0,KPHBFXGAWRNFYKEUT,Punch,SUV,Petrol,Manual,2022,Blue,959602.0,2024-12-15,SOLD,2026-08-14 11:46:17
102,14,5,9163.0,CWTQWVEGSSHNEHVEY,Harrier,SUV,Diesel,Automatic,2024,Red,2973941.0,2020-08-01,SOLD,2026-08-14 11:46:17
103,4,40,,OUQUVIHICQSHRGHGN,Camry,Sedan,Hybrid,Automatic,2025,Red,588974.0,,AVAILABLE,2026-08-14 11:46:17
104,15,28,5565.0,AMAMTGXTJBFYKVARM,Model 3,Sedan,Electric,Automatic,2026,Silver,4309071.0,2020-04-16,SOLD,2026-08-14 11:46:17
105,19,13,,DFCBAPNZLDNGZEIWG,Harrier,SUV,Diesel,Automatic,2021,Blue,1066604.0,,AVAILABLE,2026-08-14 11:46:17
106,5,41,,SFZGPZOMASKMHXWOE,Seltos,SUV,Petrol,Automatic,2025,Grey,4031662.0,,AVAILABLE,2026-08-14 11:46:17
107,20,29,,XGCISHFBWEQUIUAAB,Scorpio,SUV,Diesel,Manual,2018,Black,869692.0,,AVAILABLE,2026-08-14 11:46:17
108,10,38,5862.0,SVHPZYBNBXLQQWQAI,Camry,Sedan,Hybrid,Automatic,2020,Red,1721588.0,2023-06-28,SOLD,2026-08-14 11:46:17
109,10,39,,OZVEHNKJTVFCXFELF,Swift,Hatchback,Petrol,Manual,2026,Blue,567795.0,,AVAILABLE,2026-08-14 11:46:17
110,5,4,9167.0,CYELNOGHXKLWYSRGM,Creta,SUV,Petrol,Automatic,2023,Black,4040505.0,2020-08-11,SOLD,2026-08-14 11:46:17
111,7,41,5596.0,TEHHVFXRHIGOKRJWO,Thar,SUV,Diesel,Manual,2025,Blue,4490671.0,2022-02-14,SOLD,2026-08-14 11:46:17
112,11,38,4910.0,XPWVAUAUFKGBGOVED,Virtus,Sedan,Petrol,Automatic,2020,White,3256656.0,2024-09-10,SOLD,2026-08-14 11:46:17
113,15,3,,SUKNXOCTDOOIXPXCR,Civic,Sedan,Petrol,Automatic,2021,Grey,531013.0,,AVAILABLE,2026-08-14 11:46:17
114,8,30,,LDTKVYFZDUJFSCLXS,Model 3,Sedan,Electric,Automatic,2023,Grey,4532791.0,,AVAILABLE,2026-08-14 11:46:17
115,13,14,,AFYYSAKMOBTRWWYCU,Fortuner,SUV,Diesel,Automatic,2023,White,556416.0,,AVAILABLE,2026-08-14 11:46:17
116,3,23,2334.0,YHVZAWKXWYXUFIDFG,Nexon,SUV,Petrol,Manual,2021,Grey,4194411.0,2023-04-05,SOLD,2026-08-14 11:46:17
117,19,49,,OGJGBXZPTFBZWUHIT,Baleno,Hatchback,Petrol,Automatic,2021,Black,749020.0,,AVAILABLE,2026-08-14 11:46:17
118,10,12,2856.0,OFYSFMFNPMPWZBLHO,Creta,SUV,Petrol,Automatic,2020,Black,2563297.0,2023-10-23,SOLD,2026-08-14 11:46:17
119,1,12,344.0,NZAJENLJTTEDQWQQF,Venue,SUV,Petrol,Manual,2019,Silver,3678634.0,2021-07-16,SOLD,2026-08-14 11:46:17
120,7,20,,TSAKJBXCBXGTICRUX,City,Sedan,Petrol,Automatic,2020,Blue,3623500.0,,AVAILABLE,2026-08-14 11:46:17
121,20,28,,ZXNZRAVCKXOJWNQHM,Punch,SUV,Petrol,Manual,2021,Black,1597185.0,,AVAILABLE,2026-08-14 11:46:17
122,18,25,7038.0,PMGOFAUFROFBQJDIP,Baleno,Hatchback,Petrol,Automatic,2021,Blue,887513.0,2022-09-28,SOLD,2026-08-14 11:46:17
123,10,10,,FVHMQHQCTNLOHWUIU,Swift,Hatchback,Petrol,Manual,2020,Blue,2849425.0,,AVAILABLE,2026-08-14 11:46:17
124,19,32,7712.0,OFHOMQUFHZHWTVKYZ,Thar,SUV,Diesel,Manual,2026,Red,1904534.0,2020-09-22,SOLD,2026-08-14 11:46:17
125,17,24,2933.0,SCPFKMRKWIWXDZJOF,Civic,Sedan,Petrol,Automatic,2026,Grey,3636322.0,2023-08-11,SOLD,2026-08-14 11:46:17
126,16,46,9523.0,AIDGKDFOYPRVDQCMN,Civic,Sedan,Petrol,Automatic,2021,Black,807060.0,2024-06-30,SOLD,2026-08-14 11:46:17
127,7,29,5014.0,WNXAZMMBSXZLICIDW,Creta,SUV,Petrol,Automatic,2020,Silver,3663201.0,2024-10-06,SOLD,2026-08-14 11:46:17
128,9,36,,IJGDCIPACAZJLLUER,Punch,SUV,Petrol,Manual,2022,Red,1204879.0,,AVAILABLE,2026-08-14 11:46:17
129,17,23,7623.0,INIDJCKTIMWQDGBNH,Creta,SUV,Petrol,Automatic,2024,Red,3321709.0,2025-09-29,SOLD,2026-08-14 11:46:17
130,15,28,8152.0,OTDYYJAVEMJGRWZQQ,Camry,Sedan,Hybrid,Automatic,2024,White,2790253.0,2023-07-22,SOLD,2026-08-14 11:46:17
131,6,29,,PCTSQSYXIJRDFYGUO,Creta,SUV,Petrol,Automatic,2023,White,1136598.0,,AVAILABLE,2026-08-14 11:46:17
132,10,33,1281.0,HXMHCUNCNKJDLAWOR,Seltos,SUV,Petrol,Automatic,2019,White,2410434.0,2023-02-06,SOLD,2026-08-14 11:46:17
133,3,24,5469.0,GXNUWXLBAVUJCBSWK,Nexon EV,SUV,Electric,Automatic,2022,Silver,3261876.0,2022-03-16,SOLD,2026-08-14 11:46:17
134,9,13,8899.0,KYCSHJMFSANPEVFIZ,Model 3,Sedan,Electric,Automatic,2022,Silver,571587.0,2022-12-05,SOLD,2026-08-14 11:46:17
135,12,26,195.0,AGDPTCBIHRFDVAJAO,Fortuner,SUV,Diesel,Automatic,2020,Red,4800394.0,2025-04-17,SOLD,2026-08-14 11:46:17
136,8,15,8452.0,YGDACLOAITKJFJBMI,Thar,SUV,Diesel,Manual,2025,Silver,4432062.0,2026-08-01,SOLD,2026-08-14 11:46:17
137,3,21,6844.0,UTTAEZFDAWXJYCQUI,Thar,SUV,Diesel,Manual,2025,Blue,4179921.0,2022-05-08,SOLD,2026-08-14 11:46:17
138,1,24,2103.0,RBAFYFUODDAZIOHPG,XUV700,SUV,Diesel,Automatic,2025,Grey,581211.0,2023-06-05,SOLD,2026-08-14 11:46:17
139,12,22,6609.0,XZIFKZRZTCOKENDDD,Creta,SUV,Petrol,Automatic,2023,Blue,3013539.0,2026-01-11,SOLD,2026-08-14 11:46:17
140,1,37,2519.0,NZZDZSYDNBQCXGKYE,Nexon EV,SUV,Electric,Automatic,2024,Black,3778988.0,2023-09-14,SOLD,2026-08-14 11:46:17
141,13,5,7779.0,HGRQSNMQOOTZPRLPY,Sonet,SUV,Diesel,Manual,2025,Grey,3258521.0,2021-03-20,SOLD,2026-08-14 11:46:17
142,10,6,,LLJTTNYGQWQVWBUNK,Scorpio,SUV,Diesel,Manual,2018,Grey,1990119.0,,AVAILABLE,2026-08-14 11:46:17
143,20,32,,FZLLWNKYBSTPXZQDA,Nexon,SUV,Petrol,Manual,2024,Silver,1082933.0,,AVAILABLE,2026-08-14 11:46:17
144,7,15,1147.0,MYRBKFBMNYKYSBBTR,Verna,Sedan,Petrol,Automatic,2023,Blue,981952.0,2025-02-05,SOLD,2026-08-14 11:46:17
145,1,11,6732.0,WWXXEFJPYHHXIUUCD,Swift,Hatchback,Petrol,Manual,2019,Black,1817308.0,2024-05-20,SOLD,2026-08-14 11:46:17
146,18,27,6374.0,XCOIHKJQZVLJCJSWH,Civic,Sedan,Petrol,Automatic,2021,Silver,1589950.0,2022-04-25,SOLD,2026-08-14 11:46:17
147,14,46,,YYEAORLTYKFNNLLSF,Civic,Sedan,Petrol,Automatic,2021,Blue,3103100.0,,AVAILABLE,2026-08-14 11:46:17
148,15,18,,MPRRDXLNSWWOCGBST,Thar,SUV,Diesel,Manual,2025,White,1696987.0,,AVAILABLE,2026-08-14 11:46:17
149,13,39,9327.0,DSGEQUSBYEQGBSJGD,Creta,SUV,Petrol,Automatic,2025,Blue,4360475.0,2025-07-03,SOLD,2026-08-14 11:46:17
150,2,48,,QSXWXKOOAIJOQNUYP,Punch,SUV,Petrol,Manual,2023,Grey,4327777.0,,AVAILABLE,2026-08-14 11:46:17
151,10,26,2870.0,CGKDXCONAGEQUBJRN,Model 3,Sedan,Electric,Automatic,2020,Blue,2589894.0,2024-08-27,SOLD,2026-08-14 11:46:17
152,14,30,3006.0,JQPFUHOHJYASOYLLO,Fortuner,SUV,Diesel,Automatic,2024,Grey,1301398.0,2026-05-18,SOLD,2026-08-14 11:46:17
153,2,16,,BWRDYCSCLRGVRYBZC,Scorpio,SUV,Diesel,Manual,2019,Grey,2948547.0,,AVAILABLE,2026-08-14 11:46:17
154,7,32,9058.0,EUIBMSGYESBPMBTQN,Camry,Sedan,Hybrid,Automatic,2019,White,3593148.0,2021-05-11,SOLD,2026-08-14 11:46:17
155,17,50,2701.0,ENZAJFLFAVZVHMSFP,Swift,Hatchback,Petrol,Manual,2026,White,2239563.0,2022-11-01,SOLD,2026-08-14 11:46:17
156,15,2,7568.0,IPJRMMFZFDBXOSNTY,Punch,SUV,Petrol,Manual,2024,Black,3382809.0,2024-04-10,SOLD,2026-08-14 11:46:17
157,13,3,,EEWEDEPTKYHDRSFXL,Nexon,SUV,Petrol,Manual,2023,Grey,1644882.0,,AVAILABLE,2026-08-14 11:46:17
158,15,32,,EKPHFMZHRCZYTAKYG,City,Sedan,Petrol,Automatic,2025,Black,2532506.0,,AVAILABLE,2026-08-14 11:46:17
159,16,18,,ZMADQSZUKECWGXYST,Scorpio,SUV,Diesel,Manual,2019,Black,651549.0,,AVAILABLE,2026-08-14 11:46:17
160,10,8,2760.0,BDTLKYKBPDVVJMUGN,Sonet,SUV,Diesel,Manual,2022,Black,594041.0,2020-11-13,SOLD,2026-08-14 11:46:17
161,15,23,,GOLZRQKIKGJZYDNDM,Scorpio,SUV,Diesel,Manual,2026,Black,788944.0,,AVAILABLE,2026-08-14 11:46:17
162,15,45,8567.0,WQXRWALWZCJAJCLAQ,Nexon EV,SUV,Electric,Automatic,2022,Red,3776744.0,2021-02-25,SOLD,2026-08-14 11:46:17
163,2,39,,APMBYYHRQSTETEYOI,Nexon,SUV,Petrol,Manual,2021,Black,3665823.0,,AVAILABLE,2026-08-14 11:46:17
164,12,16,,BMIUOCLBSWKLDOEXE,Thar,SUV,Diesel,Manual,2018,White,4037331.0,,AVAILABLE,2026-08-14 11:46:17
165,11,13,,HEJAINNBGRBZSKFKL,Punch,SUV,Petrol,Manual,2020,Grey,1310366.0,,AVAILABLE,2026-08-14 11:46:17
166,6,3,5360.0,GZYMXACTKVGEKJNJC,Camry,Sedan,Hybrid,Automatic,2021,Blue,2090039.0,2023-08-14,SOLD,2026-08-14 11:46:17
167,13,28,,JDXLEFDGEIPLFFSEP,Harrier,SUV,Diesel,Automatic,2023,Silver,1388230.0,,AVAILABLE,2026-08-14 11:46:17
168,6,1,197.0,CSTFETGYPFWVSOTAP,Fortuner,SUV,Diesel,Automatic,2025,Black,2284826.0,2024-05-13,SOLD,2026-08-14 11:46:17
